gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000134265.12,NAPG,-0.2434755585884873,NA,0.8076370169338625,0.03424006616583925,NA,NA,NA,2,2.0,2,0.4137678918335692,0.15354073953834602
ENSG00000171262.11,FAM98B,0.24324540793895721,NA,0.8078152925174323,0.004741276182474505,NA,NA,NA,1,1.0,1,0.8078152925174323,0.313362673940806
ENSG00000084636.17,COL16A1,0.24324226379394537,NA,0.8078177280534491,0.054390781386001334,NA,NA,NA,1,1.0,1,0.8078177280534491,0.31215802461655895
ENSG00000236318.2,KCCAT333,-0.2431521862745285,NA,0.8078875052199224,6.487165389992769e-08,NA,NA,NA,1,1.0,1,0.8078875052199224,0.0009592335766688289
ENSG00000180921.6,FAM83H,-0.2431468169817473,NA,0.8078916645083518,0.09555512892071505,NA,NA,NA,2,2.0,2,0.4889462179454005,0.318982801545555
ENSG00000101412.12,E2F1,-0.24302066277753964,NA,0.8079893906208927,0.04331665973481463,NA,NA,NA,2,2.0,2,0.4145046784703732,0.322339479346647
ENSG00000196453.7,ZNF777,0.2427836060523987,NA,0.8081730361414514,2.7119249139932087e-06,NA,NA,NA,1,1.0,1,0.8081730361414514,0.005910715633902179
ENSG00000272102.1,RP3-355L5.5,0.2427663207054138,NA,0.8081864273438435,7.351000156373015e-06,NA,NA,NA,1,1.0,1,0.8081864273438435,0.00722029771469174
ENSG00000180592.16,SKIDA1,0.24268047511577603,NA,0.8082529339668149,0.00032555375308175165,NA,NA,NA,1,1.0,1,0.8082529339668149,0.0763603316918492
ENSG00000167748.10,KLK1,0.2425732121090339,NA,0.8083360351200732,0.00028510308061774787,NA,NA,NA,2,2.0,2,0.8346441077117586,0.0812189334444778
ENSG00000122490.18,PQLC1,-0.24240781160335736,NA,0.8084641820713161,0.0023595216612089047,NA,NA,NA,2,2.0,2,0.47406402776925427,0.182215131868871
ENSG00000185101.12,ANO9,-0.24227017164230344,NA,0.8085708249693279,3.423788409007046e-06,NA,NA,NA,1,1.0,1,0.8085708249693279,0.0027642262447642803
ENSG00000130244.12,FAM98C,0.24222215721409993,NA,0.8086080271953386,0.015291845360379867,NA,NA,NA,3,3.0,3,0.3661215612256795,0.351470352478365
ENSG00000129993.14,CBFA2T3,0.2422147989273071,NA,0.808613728533342,0.0042298157930576365,NA,NA,NA,1,1.0,1,0.808613728533342,0.10004639416385601
ENSG00000131781.12,FMO5,-0.24213780462741852,NA,0.8086733857639388,0.03293193350707627,NA,NA,NA,1,1.0,1,0.8086733857639388,0.250387500745554
ENSG00000272514.5,CFAP206,0.2419711649417877,NA,0.8088025064308939,0.017018636564350334,NA,NA,NA,1,1.0,1,0.8088025064308939,0.194147694371447
ENSG00000273416.1,RP4-597N16.4,0.24178915338785156,NA,0.8089435439303466,0.02453577208132105,NA,NA,NA,2,2.0,2,0.44033071154925796,0.41264376726435603
ENSG00000126778.8,SIX1,0.24170927703380587,NA,0.8090054406491456,9.230848410020362e-06,NA,NA,NA,1,1.0,1,0.8090054406491456,0.007386047149678021
ENSG00000253161.5,LINC01605,-0.24163809418678286,NA,0.8090606017184804,8.939410714082775e-06,NA,NA,NA,1,1.0,1,0.8090606017184805,0.0102792329810847
ENSG00000117748.9,RPA2,0.24151329696178436,NA,0.8091573119746431,0.28695753403865376,NA,NA,NA,1,1.0,1,0.8091573119746431,1.5243993452772298
ENSG00000169282.17,KCNAB1,-0.24137378495937994,NA,0.8092654287386329,0.0007487817270084981,NA,NA,NA,2,2.0,2,0.8016035275531106,0.039310652558976
ENSG00000001626.14,CFTR,-0.24135440587997437,NA,0.8092804471134181,0.0081542553130708,NA,NA,NA,1,1.0,1,0.8092804471134181,0.12429078520056
